"","Request.id","Pickup.point","Driver.id","Status","Request.timestamp","Drop.timestamp","Req.day","Drop.day","Date","Req.hour","Drop.hour","Trip.duration","Req.hour24","Time.slot"
"1",619,"Airport",1,"Trip Completed",2016-07-11 11:51:00,2016-07-11 13:00:00,"Monday","Monday",11,11,13,69,"11:00","Day Time"
"2",867,"Airport",1,"Trip Completed",2016-07-11 17:57:00,2016-07-11 18:47:00,"Monday","Monday",11,17,18,50,"17:00","Evening"
"3",1807,"City",1,"Trip Completed",2016-07-12 09:17:00,2016-07-12 09:58:00,"Tuesday","Tuesday",12,9,9,41,"9:00","Morning"
"4",2532,"Airport",1,"Trip Completed",2016-07-12 21:08:00,2016-07-12 22:03:00,"Tuesday","Tuesday",12,21,22,55,"21:00","Evening"
"5",3112,"City",1,"Trip Completed",2016-07-13 08:33:16,2016-07-13 09:25:47,"Wednesday","Wednesday",13,8,9,53,"8:00","Morning"
"6",3879,"Airport",1,"Trip Completed",2016-07-13 21:57:28,2016-07-13 22:28:59,"Wednesday","Wednesday",13,21,22,32,"21:00","Evening"
"7",4270,"Airport",1,"Trip Completed",2016-07-14 06:15:32,2016-07-14 07:13:15,"Thursday","Thursday",14,6,7,58,"6:00","Morning"
"8",5510,"Airport",1,"Trip Completed",2016-07-15 05:11:52,2016-07-15 06:07:52,"Friday","Friday",15,5,6,56,"5:00","Morning"
"9",6248,"City",1,"Trip Completed",2016-07-15 17:57:27,2016-07-15 18:50:51,"Friday","Friday",15,17,18,53,"17:00","Evening"
"10",267,"City",2,"Trip Completed",2016-07-11 06:46:00,2016-07-11 07:25:00,"Monday","Monday",11,6,7,39,"6:00","Morning"
"11",1467,"Airport",2,"Trip Completed",2016-07-12 05:08:00,2016-07-12 06:02:00,"Tuesday","Tuesday",12,5,6,54,"5:00","Morning"
"12",1983,"City",2,"Trip Completed",2016-07-12 12:30:00,2016-07-12 12:57:00,"Tuesday","Tuesday",12,12,12,27,"12:00","Day Time"
"13",2784,"Airport",2,"Trip Completed",2016-07-13 04:49:20,2016-07-13 05:23:03,"Wednesday","Wednesday",13,4,5,34,"4:00","Early Morning"
"14",3075,"City",2,"Trip Completed",2016-07-13 08:02:53,2016-07-13 09:16:19,"Wednesday","Wednesday",13,8,9,73,"8:00","Morning"
